pid,week,module,activity,date,rct
62a1d78571f418b5e6fc26fb,2,,weekly_survey,2022-11-14 12:48:24,1
6307cc2da13d39254c1f139c,2,,weekly_survey,2022-11-14 12:46:20,1
5efc4bfd3ba857044cac4787,2,,weekly_survey,2022-11-14 12:45:58,1
6149b27bd1d1f40ed535c2b4,2,,weekly_survey,2022-11-14 12:38:51,1
5d3d9749607ede001a0712df,2,,weekly_survey,2022-11-14 12:38:03,1
5f0f2ff0762218000970c967,2,,weekly_survey,2022-11-14 12:36:09,1
5689916dd3d6a7000aa1cbf0,2,,weekly_survey,2022-11-14 12:35:28,1
611ffc2ea28e21fa33671d4c,2,,weekly_survey,2022-11-14 12:30:29,1
62d13eb8bb0d45e1ad36d312,2,,weekly_survey,2022-11-14 12:29:11,1
5ce7f7ae2aa9590016af2ba7,2,,weekly_survey,2022-11-14 12:22:34,1
5f50e3d60305bb088998b766,2,,weekly_survey,2022-11-14 12:22:11,1
5c52f9bce66e510001ee16c2,2,,weekly_survey,2022-11-14 12:20:25,1
629f9d0e292a1846040223b7,2,,weekly_survey,2022-11-14 12:18:53,1
5995889da2bbe000018833d9,2,,weekly_survey,2022-11-14 12:08:45,1
5e204990b062543612e9a254,2,,weekly_survey,2022-11-14 12:08:15,1
5e291f8145cbca0ecbadd6a3,2,,weekly_survey,2022-11-14 12:08:05,1
5dccf99db9d9049777368b3b,2,,weekly_survey,2022-11-14 12:06:46,1
5f69a3c91c1e25193e3f9c7b,2,,weekly_survey,2022-11-20 23:50:54,1
61470066dce66ce341df39c1,2,,weekly_survey,2022-11-19 10:20:26,1
58ebfc286d5fe6000166b9ff,2,,weekly_survey,2022-11-16 23:30:03,1
61673b692a55fba0f6b8abf1,2,,weekly_survey,2022-11-16 06:34:08,1
60dfa262b225a8e45b6d4421,2,,weekly_survey,2022-11-15 11:59:08,1
63468948a737d638cacf18bb,2,,weekly_survey,2022-11-15 10:42:55,1
5bbbcd283895e3000163213f,2,,weekly_survey,2022-11-15 10:12:28,1
615f352d323edd8ef58fedbd,2,,weekly_survey,2022-11-14 22:58:36,1
5b7f17a7338a93000155a36d,2,,weekly_survey,2022-11-14 22:49:27,1
5c158ec0c6b01c0001bcfa72,2,,weekly_survey,2022-11-14 21:08:26,1
60da18693053b2c1d420085f,2,,weekly_survey,2022-11-14 20:06:56,1
5f28431d82be890d2f58a32d,2,,weekly_survey,2022-11-14 19:09:02,1
