Submission id,Participant id,Status,Started at,Completed at,Reviewed at,Archived at,Time taken,Completion code,Total approvals,Age,Sex,Ethnicity simplified,Country of birth,Country of residence,Nationality,Language,Student status,Employment status
641e0847cc2b09346ff46fdd,5b161c96d282ff00015c4bb6,APPROVED,2023-03-24T20:29:59.756000Z,2023-03-24T20:52:05.477000Z,2023-03-24T20:52:05.898000,2023-03-24T20:52:05.846943Z,1326,C14BP128,918,41,Female,Black,Central African Republic,United Kingdom,Nigeria,Afrikaans,No,Full-Time
641e09ed8828fb7514461210,63ea46a6a9097ada514413a0,APPROVED,2023-03-24T20:37:09.995000Z,2023-03-24T20:45:41.857000Z,2023-03-24T20:45:42.343000,2023-03-24T20:45:42.276794Z,512,C14BP128,37,28,Male,White,Romania,United Kingdom,Romania,Romanian,Yes,Full-Time
641e0c97a8875e5a3cc51578,6140bf6523a8f20a2ea1e417,APPROVED,2023-03-24T20:49:03.590000Z,2023-03-24T20:55:18.733000Z,2023-03-24T20:55:19.275000,2023-03-24T20:55:19.215667Z,376,C14BP128,912,50,Male,White,United Kingdom,United Kingdom,United Kingdom,English,No,Full-Time
641e0d4684d77bc1553ab727,616ace670cc9be4c6cc04845,APPROVED,2023-03-24T20:51:24.114000Z,2023-03-24T21:19:36.673000Z,2023-03-24T21:19:37.077000,2023-03-24T21:19:37.012775Z,1693,C14BP128,508,62,Female,White,United Kingdom,United Kingdom,United Kingdom,English,No,Unemployed (and job seeking)
641e13bce0838ed176c097e0,601867fe8e5c370dbff4fcef,APPROVED,2023-03-24T21:18:56.483000Z,2023-03-24T21:27:30.002000Z,2023-03-24T21:27:30.393000,2023-03-24T21:27:30.330880Z,514,C14BP128,363,24,Female,White,United Kingdom,United Kingdom,United Kingdom,English,No,Unemployed (and job seeking)
641e1519d2e69de8c1ac2209,62b22fafe8226b590b87284e,APPROVED,2023-03-24T21:24:41.505000Z,2023-03-24T21:41:22.887000Z,2023-03-24T21:41:23.316000,2023-03-24T21:41:23.254433Z,1002,C14BP128,213,51,Female,White,United Kingdom,United Kingdom,United Kingdom,English,No,Part-Time
641e15a0374d02fa8df678de,5c98db753df5fc0016e3baed,APPROVED,2023-03-24T21:26:56.486000Z,2023-03-24T21:32:45.870000Z,2023-03-24T21:32:46.380000,2023-03-24T21:32:46.309209Z,350,C14BP128,767,41,Female,White,United Kingdom,United Kingdom,United Kingdom,English,No,Unemployed (and job seeking)
641e1e580fd3a1495cf93833,56aa2ab9402d62000c7096f2,APPROVED,2023-03-24T22:04:15.953000Z,2023-03-24T22:12:12.236000Z,2023-03-24T22:12:12.659000,2023-03-24T22:12:12.596791Z,477,C14BP128,1684,55,Female,White,United Kingdom,United Kingdom,United Kingdom,English,No,Full-Time
641e1f2a5885f7e3bfac21fc,5d56add07d795e001788bb04,APPROVED,2023-03-24T22:07:38.977000Z,2023-03-24T22:14:23.003000Z,2023-03-24T22:14:23.440000,2023-03-24T22:14:23.380354Z,405,C14BP128,1068,40,Female,White,United Kingdom,United Kingdom,United Kingdom,English,No,Full-Time
641e39cc67976fd697e88d01,5e15f834a6eb60bd83bebe78,APPROVED,2023-03-25T00:01:16.454000Z,2023-03-25T00:06:24.018000Z,2023-03-25T00:06:24.514000,2023-03-25T00:06:24.456463Z,308,C14BP128,502,37,Female,White,United Kingdom,United Kingdom,United Kingdom,English,No,Full-Time
641e80390d123d596112f25e,5e61f36dc7061b0c396928f2,APPROVED,2023-03-25T05:01:45.217000Z,2023-03-25T05:06:57.919000Z,2023-03-25T05:06:58.369000,2023-03-25T05:06:58.315743Z,313,C14BP128,1110,40,Female,White,United Kingdom,United Kingdom,United Kingdom,English,No,Full-Time
641e9beec8b16442a7c09782,5ebc64bf78ebdb082563937b,APPROVED,2023-03-25T07:00:01.728000Z,2023-03-25T07:10:43.959000Z,2023-03-25T07:10:44.465000,2023-03-25T07:10:44.407566Z,643,C14BP128,645,37,Female,White,United Kingdom,United Kingdom,United Kingdom,English,No,Full-Time
641e9f5eb142083fd2c1fade,6004acf12facd1642ea69a4f,APPROVED,2023-03-25T07:14:38.666000Z,2023-03-25T07:18:50.559000Z,2023-03-25T07:18:51.085000,2023-03-25T07:18:51.029794Z,252,C14BP128,651,33,Female,White,United Kingdom,United Kingdom,United Kingdom,English,No,Full-Time
641e9f877a32b953e5e19a83,5ccb133b347cb5001b4770b6,APPROVED,2023-03-25T07:15:23.185000Z,2023-03-25T07:21:31.463000Z,2023-03-25T07:21:32.008000,2023-03-25T07:21:31.940237Z,369,C14BP128,229,37,Female,White,United Kingdom,United Kingdom,United Kingdom,English,No,Full-Time
641ea3d7a50c7ba8e3c1fae3,5f1e3d27e7d27c3b651d5baf,APPROVED,2023-03-25T07:33:56.780000Z,2023-03-25T07:48:58.244000Z,2023-03-25T07:48:59.181000,2023-03-25T07:48:59.122297Z,902,C14BP128,96,51,Female,White,Poland,United Kingdom,United Kingdom,Polish,No,Part-Time
641eadb7f60f0b3e0be96140,5ab782fe47a9f70001539d00,APPROVED,2023-03-25T08:17:29.380000Z,2023-03-25T08:23:47.053000Z,2023-03-25T08:23:47.582000,2023-03-25T08:23:47.530626Z,378,C14BP128,1978,57,Male,White,United Kingdom,United Kingdom,United Kingdom,English,No,Full-Time
641eaefb6434136c030476fd,63d40a74a40ea367fbcfa34e,APPROVED,2023-03-25T08:21:20.667000Z,2023-03-25T08:28:23.934000Z,2023-03-25T08:28:24.903000,2023-03-25T08:28:24.842189Z,424,C14BP128,71,32,Female,White,United Kingdom,United Kingdom,United Kingdom,English,No,"Not in paid work (e.g. homemaker', 'retired or disabled)"
641ebaf146a396048bd0d3eb,59646f5198cf77000106feb1,APPROVED,2023-03-25T09:12:17.267000Z,2023-03-25T09:16:19.388000Z,2023-03-25T09:16:19.900000,2023-03-25T09:16:19.842282Z,243,C14BP128,227,46,Female,White,United Kingdom,United Kingdom,United Kingdom,English,No,DATA_EXPIRED
641ebbece29173f5fd9d0f3b,59a2ad199b845f0001ec1e9e,APPROVED,2023-03-25T09:16:36.089000Z,2023-03-25T09:26:05.668000Z,2023-03-25T09:26:06.124000,2023-03-25T09:26:06.056447Z,570,C14BP128,408,43,Female,White,United Kingdom,United Kingdom,United Kingdom,English,No,"Not in paid work (e.g. homemaker', 'retired or disabled)"
641ebdcf11f22f3543da1657,6414253d3bddbb89b2190e30,APPROVED,2023-03-25T09:24:51.895000Z,2023-03-25T09:30:51.532000Z,2023-03-25T09:30:52.039000,2023-03-25T09:30:51.978441Z,360,C14BP128,14,30,Male,White,United Kingdom,United Kingdom,United Kingdom,English,Yes,Full-Time
